,date,open,high,low,close,volume,y2_hat
42,2017-02-12 12:00 AM,1011.01,1011.97,991.98,1000.73,2683.9973582800008,975.7547748080691
43,2017-02-13 12:00 AM,1000.73,1007.89,975.1,1000.79,4547.26036851,975.8568278615322
44,2017-02-14 12:00 AM,1000.74,1019.0,987.97,1008.88,6761.108063090012,984.0588222897526
45,2017-02-15 12:00 AM,1008.88,1013.8,1000.97,1011.53,3095.6600000300004,986.5657157146641
46,2017-02-16 12:00 AM,1011.53,1043.21,1010.75,1032.7,5996.1041298900245,1008.170523143941
47,2017-02-17 12:00 AM,1032.91,1064.99,1031.98,1055.46,6085.02260605,1031.1294330159155
48,2017-02-18 12:00 AM,1055.75,1068.99,1046.14,1056.4,4474.949306230029,1031.9106643599869
49,2017-02-19 12:00 AM,1056.4,1061.9,1039.07,1051.8,2270.849911599998,1027.9234975308011
50,2017-02-20 12:00 AM,1051.8,1089.99,1044.39,1084.0,3664.3736859599935,1060.4607237822504
51,2017-02-21 12:00 AM,1084.0,1126.86,1077.0,1124.62,8395.47371599006,1102.8248431017757
52,2017-02-22 12:00 AM,1124.83,1143.0,1098.16,1130.01,11673.089265659968,1108.3171301832272
53,2017-02-23 12:00 AM,1130.02,1193.92,1120.73,1188.11,11753.238560180143,1166.814800468736
54,2017-02-24 12:00 AM,1183.53,1220.0,1091.1,1180.14,19598.231025759687,1159.8299357515452
55,2017-02-25 12:00 AM,1180.05,1184.73,1127.0,1152.2,6238.437630390009,1130.3116071182221
56,2017-02-26 12:00 AM,1152.11,1184.97,1133.0,1179.05,3536.4862143399964,1156.8421941893932
57,2017-02-27 12:00 AM,1180.46,1197.99,1169.0,1194.64,4640.773589770012,1172.8452088502067
58,2017-02-28 12:00 AM,1194.64,1209.99,1176.27,1191.21,7562.474094789975,1169.6646747031832
59,2017-03-01 12:00 AM,1191.16,1231.0,1188.3,1226.39,6013.065822900025,1203.7633298484882
60,2017-03-02 12:00 AM,1228.0,1283.25,1215.0,1257.6,7762.732439080061,1235.85653410497
61,2017-03-03 12:00 AM,1256.32,1298.0,1255.0,1285.33,7545.477203120005,1264.4392977020482
62,2017-03-04 12:00 AM,1287.38,1289.55,1230.0,1260.0,4951.232105020021,1238.000199223463
63,2017-03-05 12:00 AM,1260.0,1275.0,1240.0,1273.0,3026.0173946601067,1251.3498914793852
64,2017-03-06 12:00 AM,1269.98,1285.0,1251.0,1278.49,4249.6479381100235,1257.2356405651767
65,2017-03-07 12:00 AM,1278.49,1281.62,1175.97,1233.05,14450.037936829909,1211.4663435780028
66,2017-03-08 12:00 AM,1233.86,1245.49,1145.5,1150.05,13399.438209160266,1127.9484557761173
67,2017-03-09 12:00 AM,1149.34,1208.0,1135.01,1190.89,7654.738349240026,1169.077352988694
68,2017-03-10 12:00 AM,1190.99,1350.0,975.0,1116.97,33467.943557999475,1097.4962846366411
69,2017-03-11 12:00 AM,1111.55,1198.0,1106.51,1176.55,7346.78699270005,1155.7225962859611
70,2017-03-12 12:00 AM,1176.58,1241.85,1170.9,1226.62,5793.90851583003,1204.0502989219135
71,2017-03-13 12:00 AM,1226.42,1249.02,1215.43,1242.46,5637.362962659991,1219.918964580582
72,2017-03-14 12:00 AM,1242.46,1260.0,1226.5,1245.86,5745.49650884002,1223.2362901749402
73,2017-03-15 12:00 AM,1245.82,1260.0,1238.32,1257.32,3930.50022526001,1234.7413453205884
74,2017-03-16 12:00 AM,1258.75,1258.96,1130.0,1172.62,15246.552760220084,1149.5211222757707
75,2017-03-17 12:00 AM,1172.0,1173.23,1063.0,1071.02,16704.57322030015,1047.3121143556361
76,2017-03-18 12:00 AM,1068.16,1099.0,944.36,969.4,21292.60430848972,945.1905599594916
77,2017-03-19 12:00 AM,969.4,1063.7,969.4,1017.97,12201.861411560056,993.520656926157
78,2017-03-20 12:00 AM,1012.88,1053.0,1010.01,1035.96,7497.911034140021,1011.500987009267
79,2017-03-21 12:00 AM,1036.23,1117.9,1034.92,1114.39,11125.495395140037,1090.505213697923
80,2017-03-22 12:00 AM,1114.39,1114.39,988.0,1037.56,14521.256356600063,1013.2265930266994
81,2017-03-23 12:00 AM,1037.6,1054.4,1010.69,1029.65,5916.995392860029,1004.9685754576333
82,2017-03-24 12:00 AM,1030.84,1032.0,920.0,929.06,16072.41708326011,903.7214038163916
83,2017-03-25 12:00 AM,928.1,963.36,891.33,956.02,13507.435420879972,931.0283250918312
84,2017-03-26 12:00 AM,956.02,997.0,937.52,960.0,9012.917651110058,933.9594923632617
85,2017-03-27 12:00 AM,959.08,1043.0,952.95,1039.92,8687.08711524005,1014.7862654459457
86,2017-03-28 12:00 AM,1039.09,1068.26,1014.9,1043.99,9115.517124880047,1018.643129823371
87,2017-03-29 12:00 AM,1042.83,1059.43,1008.16,1035.96,9379.719320210024,1010.5847145484952
88,2017-03-30 12:00 AM,1037.29,1050.17,1017.14,1033.7,8645.377870810034,1008.2213844946475
89,2017-03-31 12:00 AM,1033.79,1081.0,1031.43,1070.31,12058.788094560101,1045.0269559116634
90,2017-04-01 12:00 AM,1071.34,1097.0,1061.64,1083.94,5209.128362619993,1060.2743307215017
91,2017-04-02 12:00 AM,1083.95,1100.0,1066.49,1078.01,7639.896216710084,1054.2528397264164
92,2017-04-03 12:00 AM,1076.59,1152.0,1076.19,1144.77,11076.862730590105,1122.0951462918576
93,2017-04-04 12:00 AM,1146.42,1162.93,1118.85,1143.0,7420.86623820003,1120.2263343268476
94,2017-04-05 12:00 AM,1143.0,1145.0,1111.0,1134.58,5588.976408240018,1111.6497622436273
95,2017-04-06 12:00 AM,1134.86,1201.37,1134.36,1190.85,9134.295597620054,1168.3287276699477
96,2017-04-07 12:00 AM,1190.72,1202.0,1176.0,1190.66,5450.272714259998,1168.1778185313904
97,2017-04-08 12:00 AM,1190.66,1197.3,1166.66,1184.03,2720.79822733999,1161.406629947101
98,2017-04-09 12:00 AM,1184.05,1216.87,1173.98,1206.2,4817.4242487400015,1183.8132026783437
99,2017-04-10 12:00 AM,1205.2,1219.71,1195.0,1209.25,3656.816312960003,1186.6399436856927
100,2017-04-11 12:00 AM,1209.99,1229.0,1198.02,1218.99,3487.753108140001,1196.840508523578
101,2017-04-12 12:00 AM,1218.99,1224.57,1208.0,1212.17,3475.194625709994,1190.4181957793337
102,2017-04-13 12:00 AM,1212.16,1219.45,1141.0,1172.91,7135.302956500063,1150.5226484623697
103,2017-04-14 12:00 AM,1172.56,1193.0,1142.0,1170.34,8982.76789634995,1147.7227227433016
104,2017-04-15 12:00 AM,1169.53,1192.5,1165.0,1173.45,1804.4507967999914,1150.3183881425464
105,2017-04-16 12:00 AM,1171.0,1179.3,1150.0,1162.31,2663.99028304,1139.2879969544472
106,2017-04-17 12:00 AM,1162.31,1192.5,1161.0,1176.54,3568.825074769996,1153.8516151270824
107,2017-04-18 12:00 AM,1176.59,1210.0,1175.95,1202.58,5514.182404509979,1180.2023839946194
108,2017-04-19 12:00 AM,1202.59,1209.99,1190.0,1203.98,6046.519436560006,1181.655347139725
109,2017-04-20 12:00 AM,1203.98,1243.88,1201.66,1234.19,5972.935391540011,1211.8388510718387
